,Region,rsu_raf,nombre,glosa,fono,glosa1,Direccion,Email,Socios,Socias,FechaConstitucion,Column1,FechaUltimaDirectiva,NombreOficina,FechaDepositoEstatutos,Empresa,NombreDirigente,InicioMandato,FinMandato,glosa2,TotalMiembros
1129,13,93010104,ASOCIACION DE FUNCIONARIOS DEL GOBIERNO REGIONAL METROPOLITANO DE SANTIAGO,ACTIVO,2509000-2509402,ASOCIACION DE FUNCIONARIOS,"TEATINOS Nº 370, 4º PISO",,75,37,13/08/1996,,09-06-2022 0:00:00,IPT SANTIAGO,14/08/1996,,CAROLINA PAZ HIDALGO MANDUJANO,09/06/2022,2024-06-09T00:00:00.000,PRESIDENTE,112
10734,13,13220055,SINDICATO DE TRABAJADORES NRO 2 DE LA EMPRESA CLUB DE POLO Y EQUITACION SAN CRISTOBAL,ACTIVO,02284743,SINDICATO EMPRESA,MONSENOR E.BALAGUER 5501,,39,61,05/08/1986,,09-06-2022 0:00:00,ICT SANTIAGO ORIENTE,08/08/1986,: 91149000-5 CLUB DE POLO Y EQUITACION SAN CRISTOBAL,RUBEN ANGEL PENA MORALES,09/06/2022,2024-06-09T00:00:00.000,PRESIDENTE,100
1424,13,93110055,"ASOCIACION DE FUNCIONARIOS MEDICOS CIRUJANOS, CIRUJANOS DENTISTAS Y QUIMICO FARMACEUTICOS DEL HOSPITAL CLINICO DOCTOR FELIX BULNES CERDA",ACTIVO,3619859-3619861,ASOCIACION DE FUNCIONARIOS,LEONCIO FERNANDEZ Nº 2655.,leymedicafelixbulnes@gmail.com,90,52,04/07/2007,861010 ACTIVIDADES DE HOSPITALES Y CLÍNICAS PÚBLICAS,09-06-2022 0:00:00,ICT STGO PONIENTE,18/07/2007,,GISELLA ESTELA ARELLANO PEREDO,10/06/2022,2024-06-10T00:00:00.000,PRESIDENTE,142
6770,13,13020794,SINDICATO DE TRABAJADORES ASISTENTES DE LA EDUCACION DE ESTABLECIMIENTOS EDUCACIONALES DE LA EMPRESA CORPORACION MUNICIPAL DE SAN MIGUEL,ACTIVO,05569759,SINDICATO EMPRESA,GASPAR BANDA 4047,,44,101,20/08/1992,,17-06-2022 0:00:00,ICT SANTIAGO SUR,25/08/1992,: 70962500-4 CORP MUNICIPAL DE SAN MIGUEL,ASTRID JEANETTE CONTRERAS LIBERONA,17/06/2022,2024-06-17T00:00:00.000,PRESIDENTE,145
615,13,93220013,ASOCIACION DE FUNCIONARIOS DE LA FISCALIA REGIONAL METROPOLITANA ORIENTE,ACTIVO,5875136,ASOCIACION DE FUNCIONARIOS,'LOS MILITARES Nº5550',,50,70,19/12/2008,,21-06-2022 0:00:00,ICT SANTIAGO ORIENTE,23/12/2008,,PAMELA ARANCIBIA CONTRERAS,17/06/2022,2024-06-17T00:00:00.000,DIRECTOR,120
13415,13,13011628,SINDICATO NACIONAL Nº 1 DE EMPRESA CONSTRUMART S.A.,ACTIVO,09-2350688,SINDICATO EMPRESA,LAUTARO Nº 9202,,78,24,27/10/1990,942000 ACTIVIDADES DE SINDICATOS,14-06-2022 0:00:00,IPT SANTIAGO,31/10/1990,: 96511460-2 CONSTRUMART S.A.,TATIANA JOHANA SILVA ARRIAGADA,17/06/2022,2024-06-17T00:00:00.000,PRESIDENTE,102
4697,13,13111569,SINDICATO DE EMPRESA FUNDACION RODRIGO ZALDIVAR LARRAIN,ACTIVO,6212760,SINDICATO EMPRESA,AVDA SOFIA EASTMAN DE HUNNEUS Nº 9130,,6,145,04/05/2006,0 ACTIVIDADES NO ESPECIFICADAS,23-11-2018 0:00:00,ICT STGO PONIENTE,16/05/2006,: 53226150-3 FUNDACION ROSTROS NUEVOS,LISBET PAMELA FELIPE SEPULVEDA,22/11/2018,2024-06-22T00:00:00.000,PRESIDENTE,151
7849,13,13010389,SINDICATO DE TRABAJADORES DE LA EMPRESA MARSOL S.A.,ACTIVO,6964175,SINDICATO EMPRESA,EJERCITO Nº 773,,156,38,03/02/1966,465909 VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO N.C.P.,27-06-2022 0:00:00,IPT SANTIAGO,03/02/1966,: 91443000-3 MARSOL S A,ERICK GUERRERO URRUTIA,23/06/2022,2024-06-23T00:00:00.000,PRESIDENTE,194
13118,13,13011220,SINDICATO NACIONAL DE TRABAJADORES DE LA EMPRESA : FUNDACION ASISTENCIAL Y DE SALUD TRABAJADORES DEL BANCO DEL ESTADO DE CHILE,ACTIVO,6952858,SINDICATO EMPRESA,"VALENTIN LETELIER N° 1349, OF. 301",,51,133,21/08/1987,651220 ACTIVIDADES DE ISAPRES,18-06-2022 0:00:00,IPT SANTIAGO,25/08/1987,: 71235700-2 FUND DE SALUD TRABAJADORES BANCO DEL ESTADO DE CHILE,ANDREA PAZ PEREZ GUAJARDO,23/06/2022,2024-06-23T00:00:00.000,PRESIDENTE,184
7167,13,13230622,SINDICATO DE TRABAJADORES DE EMPRESA FABRICA DE ENVASES FOSKO S.A.,ACTIVO,3986130,SINDICATO EMPRESA,"CAMINO EL OTOÑO, LOTE 4",,55,47,21/05/1995,,24-06-2022 0:00:00,ICT NORTE CHACABUCO,31/05/1995,: 81866400-1 FABRICA DE ENVASES FOSKO S.A.,JUAN ANTONIO HEVIA CERDA,24/06/2022,2024-06-24T00:00:00.000,PRESIDENTE,102
1949,13,93010068,ASOCIACION DE FUNCIONARIOS TECNICOS PARAMEDICOS HOSPITAL CLINICO SAN BORJA ARRIARAN,ACTIVO,5441328-5446458,ASOCIACION DE FUNCIONARIOS,SANTA ROSA Nº 1234,,29,159,20/12/1995,,05-07-2022 0:00:00,IPT SANTIAGO,28/12/1995,,LUISA ANGELICA MARIN RODRIGUEZ,29/06/2022,2024-06-29T00:00:00.000,PRESIDENTE,188
7385,13,13010176,SINDICATO DE TRABAJADORES DE EMPRESA SOCIEDAD DE INSTRUCCION PRIMARIA DE SANTIAGO,ACTIVO,6396620,SINDICATO EMPRESA,"PHILLIPS N° 16,7° PISO,DEPTO-O",,32,85,08/11/1970,"850012 ENSEÑANZA PRIMARIA, SECUNDARIA CIENTÍFICO HUMANISTA Y TÉCNICO PROFESIONAL PÚBLICA",21-06-2022 0:00:00,IPT SANTIAGO,08/11/1970,: 82648400-4 SOC DE INSTRUCCION PRIMARIA DE SANTIAGO,MARIA CLEMENTINA RAMIREZ VARGAS,30/06/2022,2024-06-30T00:00:00.000,PRESIDENTE,117
4959,13,13090925,SINDICATO DE EMPRESA LIDER SUPERMERCADO MAIPU LTDA,ACTIVO,5313711,SINDICATO EMPRESA,RAMON FREIRE Nº 1790,sindicato61plazamaipu@gmail.com,29,69,23/10/2010,"471100 VENTA AL POR MENOR EN COMERCIOS DE ALIMENTOS, BEBIDAS O TABACO (SUPERMERCADOS E HIPERMERCADOS)",21-06-2022 0:00:00,ICT MAIPÚ,27/10/2010,: 76134941-4 ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA: 76134946-5 ADMINISTRADORA DE SUPERMERCADOS EXPRESS LIMITADA: 76232647-7 WALMART CHILE MAYORISTA LIMITADA: 76473580-3 EKONO LIMITADA: 76833720-9 ABARROTES ECONOMICOS LIMITADA,GINA DE LAS MERCEDES SAAVEDRA ACUÑA,06/07/2022,2024-07-06T00:00:00.000,PRESIDENTE,98
4087,13,13012439,SINDICATO DE EMPRESA CONFECCIONES FEROUCH LTDA.,ACTIVO,6294382,SINDICATO EMPRESA,"VALENTIN LETELIER Nº 1373, OF. 604",,52,107,30/08/2001,0 ACTIVIDADES NO ESPECIFICADAS,29-05-2023 0:00:00,IPT SANTIAGO,31/08/2001,: 86708800-8 BADAMAX RETAIL S.A.,ROSA MARIA ESPINOZA LOPEZ,12/07/2022,2024-07-12T00:00:00.000,PRESIDENTE,159
13425,13,13071052,SINDICATO NACIONAL Nº 1 DE TRABAJADORES DE LA EMPRESA WENCO S.A.,ACTIVO,6208500 mesa,SINDICATO EMPRESA,AMERICO VESPUCIO NORTE Nº 1125,sindicatonacionalwencon1@gmail.com,158,10,07/11/1965,222000 FABRICACIÓN DE PRODUCTOS DE PLÁSTICO,26-06-2022 0:00:00,ICT STGO NORTE,08/08/2003,: 92147000-2 WENCO S A,JULIO HUMBERTO ROSAS ASTETE,14/07/2022,2024-07-14T00:00:00.000,PRESIDENTE,168
1462,13,93110021,ASOCIACION DE FUNCIONARIOS MUNICIPALES DE CERRO NAVIA,ACTIVO,3766800,ASOCIACION DE FUNCIONARIOS,DEL CONSISTORIAL Nº 6645,,0,106,07/03/1988,,24-03-2022 0:00:00,ICT STGO PONIENTE,07/03/1988,,SERGIO ALEX MUÑOZ MUÑOZ,14/07/2022,2024-07-14T00:00:00.000,PRESIDENTE,106
13083,13,13111261,SINDICATO NACIONAL DE TRABAJADORES DE EMPRESA CEVA,ACTIVO,291502000,SINDICATO EMPRESA,"AVDA EL PARQUE Nº 1307,MODULO 5- ENEA-",sindicato.empresa.ceva@gmail.com,46,81,21/01/2013,492300 TRANSPORTE DE CARGA POR CARRETERA,15-07-2022 0:00:00,ICT STGO PONIENTE,23/01/2013,: 78947550-4 CEVA FREIGHT MANAGEMENT LOGISTICA DE CHILE LIMITADA,DANIELA SALAZAR DIAZ,15/07/2022,2024-07-15T00:00:00.000,PRESIDENTE,127
5611,13,13110096,SINDICATO DE EMPRESA SKY CHEFS CHILE SPA.,ACTIVO,5658300(E),SINDICATO EMPRESA,AEROPUERTO ARTURO MERINO BENITEZ.,,92,44,30/10/1970,562900 SUMINISTRO INDUSTRIAL DE COMIDAS POR ENCARGO; CONCESIÓN DE SERVICIOS DE ALIMENTACIÓN,19-07-2021 0:00:00,ICT STGO PONIENTE,30/10/1970,: 81348400-5 SKY CHEFS CHILE SPA,INES DEL CARMEN CURIHUAL PICHUMAN,19/07/2021,2024-07-19T00:00:00.000,PRESIDENTE,136
2681,13,13090174,CONFEDERACION NACIONAL DE TRABAJADORAS Y TRABAJADORES (CNT-CHILE),ACTIVO,5320381,CONFEDERACION DE SINDICATOS,SAN JOSE N? 70,confederacion.cntchile@gmail.com,117,64,26/10/1983,990000 ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES,22-07-2022 0:00:00,ICT MAIPÚ,07/11/1983,,PEDRO ENRIQUE ALFONSO ROJAS CORREA,22/07/2022,2024-07-22T00:00:00.000,DIRECTOR,181
13826,13,13231207,SINDICATO Nº 1 DE EMPRESA INSTITUTO SANITAS S.A.,ACTIVO,4446600,SINDICATO EMPRESA,AMERICO VESPUCIO Nº 01260,,40,74,16/03/1939,,21-07-2022 0:00:00,ICT NORTE CHACABUCO,16/03/1939,: 90073000-4 INSTITUTO SANITAS S A,ISABEL CRISTINA COBO VICUÑA,22/07/2022,2024-07-22T00:00:00.000,PRESIDENTE,114
2342,13,93010181,"ASOCIACION NACIONAL DE FUNCIONARIOS PLANTA II DE SUB-OFICIALES DE GENDARMERIA DE CHILE ""A.N.S.O.G.""",ACTIVO,4644600,ASOCIACION DE FUNCIONARIOS,PEDRO MONTT Nº 1902,,67,31,02/11/2006,942000 ACTIVIDADES DE SINDICATOS,23-08-2023 0:00:00,IPT SANTIAGO,03/11/2006,,JACQUELINE FIGUEROA RAMOS,27/07/2022,2024-07-27T00:00:00.000,DIRECTOR,98
994,13,93030021,ASOCIACION DE FUNCIONARIOS DE SALUD MUNICIPALIZADA DE LA ILUSTRE MUNICIPALIDAD DE TALAGANTE,ACTIVO,4512851,ASOCIACION DE FUNCIONARIOS,FRANCISCO CHACON Nº 750,,53,100,15/07/2005,,30-11-2021 0:00:00,IPT TALAGANTE,27/07/2005,,SANDRA QUINTEROS CONCHA,28/07/2022,2024-07-28T00:00:00.000,PRESIDENTE,153
1022,13,93120005,ASOCIACION DE FUNCIONARIOS DEL AREA SALUD MUNICIPALIDAD PROVIDENCIA,ACTIVO,2352510,ASOCIACION DE FUNCIONARIOS,MANUEL MONTT 303,,40,80,05/05/1995,0 ACTIVIDADES NO ESPECIFICADAS,22-07-2022 0:00:00,ICT PROVIDENCIA,12/05/1995,,YERCO GABRIEL DAPREMONT MONROY,01/08/2022,2024-08-01T00:00:00.000,DIRECTOR,120
631,13,93080021,ASOCIACION DE FUNCIONARIOS DE LA I. MUNICIPALIDAD DE PEÑALOLEN,ACTIVO,279-2754 / 279-5272,ASOCIACION DE FUNCIONARIOS,AV. GRECIA No 8735,,84,90,22/02/1990,,14-06-2022 0:00:00,ICT SANTIAGO SUR ORIENTE,28/03/1996,,JOSE DAVID SANTANDER TORRES,03/08/2022,2024-08-03T00:00:00.000,PRESIDENTE,174
1899,13,93110064,"ASOCIACION DE FUNCIONARIOS PROFESIONALES, ADMINISTRATIVOS, TECNICOS Y AUXILIARES DE LA MUNICIPALIDAD DE CERRO NAVIA",ACTIVO,3766871,ASOCIACION DE FUNCIONARIOS,DEL CONSISTORIAL Nº 6645,,59,51,06/07/2006,,22-01-2022 0:00:00,ICT STGO PONIENTE,11/07/2006,,HELEN WILLIAMS IBAÑEZ,05/08/2022,2024-08-05T00:00:00.000,PRESIDENTE,110
13026,13,13010320,SINDICATO NACIONAL DE EMPRESA VIÑA SAN PEDRO TARAPACA S.A. Nº2,ACTIVO,3734300,SINDICATO EMPRESA,"VITACURA Nº 4380, 6TO. PISO",sindicatovspt2@gmail.com,111,46,06/11/1970,110200 ELABORACIÓN DE VINOS,01-10-2022 0:00:00,IPT SANTIAGO,06/11/1970,: 91041000-8 VINA SAN PEDRO TARAPACA S.A.,MARCELO SEPULVEDA DIAZ,12/08/2022,2024-08-12T00:00:00.000,PRESIDENTE,157
10856,13,13130005,SINDICATO DE TRABAJADORES Nº 1 DE PINTURAS SHERWIN WILLIAMS CHILE S.A.,ACTIVO,5400011,SINDICATO EMPRESA,AVDA LA DIVISA 3598543000,,114,3,02/10/1979,,12-08-2020 0:00:00,IPT MAIPO (SAN BERNARDO),11/10/1979,: 96803460-K SHERWIN WILLIAMS CHILE S A,GUIDO ORLANDO FLORES CHACON,12/08/2020,2024-08-12T00:00:00.000,PRESIDENTE,117
895,13,93070090,"ASOCIACION DE FUNCIONARIOS DE LA UNIVERSIDAD DE CHILE , CAMPUS DE MEDICINA",ACTIVO,05516438,ASOCIACION DE FUNCIONARIOS,GRAN AVENIDA N? 3100,,69,129,09/11/1995,,22-10-2021 0:00:00,ICT STGO NORTE,23/11/1995,,DANIEL ROBERTO COLOMBO SILVA,17/08/2022,2024-08-17T00:00:00.000,PRESIDENTE,198
2022,13,93010114,ASOCIACION DE FUNCIONARIOS Y PROFESIONALES DE LA CORPORACION DE ASISTENCIA JUDICIAL DE LA REGION METROPOLITANA,ACTIVO,7827953,ASOCIACION DE FUNCIONARIOS,"AGUSTINAS N° 1419, PISO 2",,71,108,24/06/1998,,11-12-2022 0:00:00,IPT SANTIAGO,07/07/1998,,JORGE EDUARDO ACEVEDO ZAMORANO,18/08/2022,2024-08-18T00:00:00.000,DIRECTOR,179
2299,13,93010018,ASOCIACION NACIONAL DE FUNCIONARIOS DE LA UNIVERSIDAD TECNOLOGICA METROPOLITANA,ACTIVO,7877673-09.8052841,ASOCIACION DE FUNCIONARIOS,DIECIOCHO N° 178,,100,90,12/08/1994,853110 ENSEÑANZA SUPERIOR EN UNIVERSIDADES PÚBLICAS,03-01-2022 0:00:00,IPT SANTIAGO,18/08/1994,,VICTOR DE LA BARRA CARRASCO,23/08/2022,2024-08-23T00:00:00.000,PRESIDENTE,190
2296,13,93010055,ASOCIACION NACIONAL DE FUNCIONARIOS DE LA SUPERINTENDENCIA DE SERVICIOS SANITARIOS,ACTIVO,06332086,ASOCIACION DE FUNCIONARIOS,"MONEDA Nº 673, PISO 7",,57,56,20/10/1995,,23-10-2021 0:00:00,IPT SANTIAGO,24/10/1995,,MARIA ETERLINA CAMPOS GATICA,24/08/2022,2024-08-24T00:00:00.000,PRESIDENTE,113
2322,13,93010065,ASOCIACION NACIONAL DE FUNCIONARIOS DEL MINISTERIO SECRETARIA GENERAL DE GOBIERNO,ACTIVO,6953449,ASOCIACION DE FUNCIONARIOS,"VALENTIN LETELIER N° 1373, OF.801",,120,76,14/12/1995,942000 ACTIVIDADES DE SINDICATOS,07-06-2022 0:00:00,IPT SANTIAGO,20/12/1995,,MARCELO EDUARDO OLGUIN MORENO,30/08/2022,2024-08-30T00:00:00.000,PRESIDENTE,196
2524,13,93110048,"ASOCIACIÓN DE FUNCIONARIOS DE LOS SERVICIOS DE ATENCIÓN PRIMARIA DE URGENCIA DE PUDAHUEL,DE LA CORPORACIÓN MUNICIPAL DE DESARROLLO SOCIAL DE PUDAHUEL",ACTIVO,6435459(p),ASOCIACION DE FUNCIONARIOS,SAN FRANCISCO N° 8630,,80,56,07/08/2004,,14-09-2022 0:00:00,ICT STGO PONIENTE,13/08/2004,,LUIS ANTONIO FRITZ VALENCIA,01/09/2022,2024-09-01T00:00:00.000,PRESIDENTE,136
2357,13,93220022,ASOCIACION NACIONAL DE FUNCIONARIOS/AS HOSPITAL CLINICO DE LA FUERZA AEREA DE CHILE GRAL. DR. RAÚL YAZIGI J. (ANFUFACH),ACTIVO,956140876,ASOCIACION DE FUNCIONARIOS,AV. LAS CONDES N°,,31,109,03/09/2020,861020 ACTIVIDADES DE HOSPITALES Y CLÍNICAS PRIVADAS,03-09-2022 0:00:00,ICT SANTIAGO ORIENTE,04/09/2020,,CLAUDIA MOYA SOTO,08/09/2022,2024-09-08T00:00:00.000,PRESIDENTE,140
13321,13,13071972,SINDICATO NACIONAL INTEREMPRESA DE TRABAJADORES DEL SISTEMA DE APUESTAS TELEFONICAS DE LAS EMPRESAS HIPICAS DE CHILE,ACTIVO,08/2177708,SINDICATO INTER EMPRESA,AV. FERMIN VIVACETA Nº 2753,molina.sindicato.interempresas@hipodromochile.cl,64,100,16/12/2011,931101 HIPÓDROMOS,03-07-2023 0:00:00,ICT STGO NORTE,19/12/2011,: 90212000-9 CLUB HIPICO DE SANTIAGO S A: 90256000-9 SOC HIPODROMO CHILE S A,GENESIS MARIA GONZALEZ VALLES,14/09/2022,2024-09-14T00:00:00.000,PRESIDENTE,164
7,13,13120911,"""SINDICATO DE ESTABLECIMIENTO MANUEL MONTT LIDER EXPRESS""",ACTIVO,2005000,SINDICATO ESTABLECIMIENTO,MANUEL MONTT 80,,78,100,23/02/2012,,15-09-2020 0:00:00,ICT PROVIDENCIA,27/02/2012,: 76134941-4 ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA: 76134946-5 ADMINISTRADORA DE SUPERMERCADOS EXPRESS LIMITADA: 76232647-7 WALMART CHILE MAYORISTA LIMITADA: 76473580-3 EKONO LIMITADA: 76833720-9 ABARROTES ECONOMICOS LIMITADA,JETZABEL ANGELA TORO SILVA,15/09/2020,2024-09-15T00:00:00.000,PRESIDENTE,178
13009,13,13013368,SINDICATO NACIONAL DE EMPRESA SOCIEDAD ADMINISTRADORA DE CREDITOS SOLVENCIA S.A.,ACTIVO,9-0738773/8277640,SINDICATO EMPRESA,HUERFANOS Nº786,,55,125,30/07/2008,,02-08-2022 0:00:00,IPT SANTIAGO,01/08/2008,: 96640140-0 EMPRESAS SOLVENCIA SPA,ELIZABETH CACERES LUCERO,23/09/2021,2024-09-23T00:00:00.000,PRESIDENTE,180
1953,13,93070023,ASOCIACION DE FUNCIONARIOS TECNICOS PARAMEDICOS HOSPITAL DR. ROBERTO DEL RIO,ACTIVO,4791548-402-530,ASOCIACION DE FUNCIONARIOS,PROFESOR ZAÑARTU 1085,,11,108,04/08/1995,861010 ACTIVIDADES DE HOSPITALES Y CLÍNICAS PÚBLICAS,28-09-2022 0:00:00,ICT STGO NORTE,07/08/1995,,BEATRIZ ADELAIDA VEGA MATELUNA,28/09/2022,2024-09-28T00:00:00.000,PRESIDENTE,119
11560,13,13090862,SINDICATO EMPRESA LOURDES DE TRABAJADORES VULE S.A,ACTIVO,087135123,SINDICATO EMPRESA,AV. VIEL Nº 1756,sindicatolourdesvule@gmail.com,100,55,20/04/2009,492120 TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS VÍA LOCOMOCIÓN COLECTIVA,07-03-2020 0:00:00,ICT MAIPÚ,21/04/2009,: 76071048-2 BUSES VULE S.A.,RICARDO FRANCISCO POZO GALDAMES,29/09/2020,2024-09-29T00:00:00.000,PRESIDENTE,155
13077,13,13011183,SINDICATO NACIONAL DE TRABAJADORES DE EMPRESA A.F.P. CAPITAL S.A.,ACTIVO,00726970-6986936,SINDICATO EMPRESA,VALENTIN LETELIER Nº 18,,49,97,26/03/1987,663010 ADMINISTRADORAS DE FONDOS DE PENSIONES (AFP),29-09-2021 0:00:00,IPT SANTIAGO,08/04/1987,: 98000000-1 ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,SALVADOR ABRAHAM AVALOS SUAZO,30/09/2021,2024-09-30T00:00:00.000,PRESIDENTE,146
1974,13,93120026,ASOCIACION DE FUNCIONARIOS TECNICOS- PARAMEDICOS DEL INSTITUTO DE NEUROCIRUGIA,ACTIVO,2003232,ASOCIACION DE FUNCIONARIOS,JOSE MANUEL INFANTE 553,,55,73,20/06/1996,,25-09-2022 0:00:00,ICT PROVIDENCIA,25/06/1996,,NATALIA REYES CARTES,30/09/2022,2024-09-30T00:00:00.000,PRESIDENTE,128
5777,13,13012804,SINDICATO DE EMPRESA THYSSENKRUPP ELEVADORES S.A.,ACTIVO,2079240,SINDICATO EMPRESA,SERRANO Nº444,stke@live.cl,140,0,09/05/2005,942000 ACTIVIDADES DE SINDICATOS,28-02-2023 0:00:00,IPT SANTIAGO,11/05/2005,: 96726480-6 TK ELEVADORES CHILE S.A.,FRANCISCO FELIPÈ HERNANDEZ HERNANDEZ,04/10/2021,2024-10-04T00:00:00.000,PRESIDENTE,140
7758,13,13160072,SINDICATO DE TRABAJADORES DE LA EMPRESA FORUS S.A.,ACTIVO,290 32 01,SINDICATO EMPRESA,avda departamental 01053,sindicato@forus.cl,97,73,10/09/1992,152000 FABRICACIÓN DE CALZADO,07-10-2022 0:00:00,ICT LA FLORIDA,24/09/1992,: 86963200-7 FORUS S A,JOSÉ ANTONIO GRUMI ARANCIBIA,06/10/2022,2024-10-06T00:00:00.000,PRESIDENTE,170
10916,13,13050051,SINDICATO DE TRABAJADORES Nº 2 PAPELES CORDILLERA SOCIEDAD ANONIMA FILIAL HOLDING CMPC S.A.,ACTIVO,367-5701,SINDICATO EMPRESA,JOSE LUIS COO 0778,,141,2,23/05/1931,,31-10-2022 0:00:00,IPT CORDILLERA,19/12/1980,: 96853150-6 PAPELES CORDILLERA SPA,MIGUEL ANGEL RIVEROS VARAS,12/10/2021,2024-10-12T00:00:00.000,PRESIDENTE,143
13116,13,13160060,SINDICATO NACIONAL DE TRABAJADORES DE EMPRESAS PARIS ADMINISTRADORA LTDA.,ACTIVO,02218919,SINDICATO EMPRESA,"el maqui nº 6791, la florida",parisvespuciosindinacional@gmail.com,22,97,07/10/1991,471910 VENTA AL POR MENOR EN COMERCIOS DE VESTUARIO Y PRODUCTOS PARA EL HOGAR (GRANDES TIENDAS),16-10-2020 0:00:00,ICT LA FLORIDA,16/10/1991,: 78071710-6 ADMINISTRADORA Y COMERCIAL ARAUCO LTDA: 96973670-5 PARIS ADMINISTRADORA LIMITADA,VICTOR EDUARDO ALDERETE DE LA FUENTE,16/10/2020,2024-10-16T00:00:00.000,PRESIDENTE,119
5528,13,13071617,SINDICATO DE EMPRESA SERVICIO HOSPITALARIO S.A.,ACTIVO,5980850,SINDICATO EMPRESA,JUAN ELIAS N° 1712,sshh.sindicato2017@gmail.com,30,100,24/09/2004,,05-10-2021 0:00:00,ICT STGO NORTE,28/10/2004,: 96622700-1 SERVICIOS HOSPITALARIOS S A,OSCAR ALEJANDRO RAMIREZ NUNEZ,18/10/2021,2024-10-18T00:00:00.000,PRESIDENTE,130
5344,13,13012633,SINDICATO DE EMPRESA PENTACROM SERVICIOS S.A.,ACTIVO,967571512,SINDICATO EMPRESA,VALENTIN LETELIER Nº 18,,92,27,14/07/2003,476103 VENTA AL POR MENOR DE ARTÍCULOS DE PAPELERÍA Y ESCRITORIO EN COMERCIOS ESPECIALIZADOS,03-10-2021 0:00:00,IPT SANTIAGO,23/07/2003,: 96764770-5 PENTACROM SERVICIOS S A,SERGIO DEMOFILO CANCINO VALENCIA,19/10/2021,2024-10-19T00:00:00.000,PRESIDENTE,119
454,13,93130003,ASOCIACION DE FUNCIONARIOS DE ATENCION PRIMARIA CONSULTORIO SAN BERNARDO,ACTIVO,8562916 ? 8562943,ASOCIACION DE FUNCIONARIOS,SAN ALFONSO CON PANAMERICANA SUR,,25,83,26/05/1995,960909 OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.,07-09-2022 0:00:00,IPT MAIPO (SAN BERNARDO),31/05/1995,,KARINA VALDES MORALES,19/10/2022,2024-10-19T00:00:00.000,PRESIDENTE,108
10961,13,13020082,SINDICATO DE TRABAJADORES Nº1 DE LA EMPRESA J. RIVEROS S.A.I.C.,ACTIVO,05514411,SINDICATO EMPRESA,SAN NICOLAS Nº 960,,127,43,13/06/1966,,11-10-2022 0:00:00,ICT SANTIAGO SUR,14/04/1980,: 93113000-5 J RIVEROS S A I C,SANDRA YOHANA ASTUDILLO PARADA,20/10/2022,2024-10-20T00:00:00.000,PRESIDENTE,170
3826,13,13110660,SINDICATO DE EMPRESA CATER,ACTIVO,06019177,SINDICATO EMPRESA,CAMINO AEROPUERTO S/N,sindicato1cater@gmail.com,45,93,16/10/1998,521009 OTROS SERVICIOS DE ALMACENAMIENTO Y DEPÓSITO N.C.P.,16-06-2023 0:00:00,ICT STGO PONIENTE,21/10/1998,: 81348400-5 SKY CHEFS CHILE SPA,VIVIANA DEL CARMEN URBINA ZUÑIGA,21/10/2020,2024-10-21T00:00:00.000,PRESIDENTE,138
1684,13,93010121,ASOCIACION DE FUNCIONARIOS NO DOCENTES DE EDUCACION DE LA ILUSTRE MUNICIPALIDAD DE SANTIAGO,ACTIVO,6974329 -6962032,ASOCIACION DE FUNCIONARIOS,AV.RICARDO CUMMING Nº 735,,65,100,29/04/1999,,29-10-2022 0:00:00,IPT SANTIAGO,06/05/1999,,MORELIA SEPULVEDA HORMAZABAL,24/10/2022,2024-10-24T00:00:00.000,PRESIDENTE,165
6030,13,13110879,SINDICATO DE ESTABLECIMIENTO BODEGAS EASY RETAIL S.A.,ACTIVO,08/9600916,SINDICATO ESTABLECIMIENTO,puerto madero nº 9710 pasillo k,sindicatobodega@gmail.com,99,32,28/08/2007,475201 VENTA AL POR MENOR DE ARTÍCULOS DE FERRETERÍA Y MATERIALES DE CONSTRUCCIÓN,01-10-2022 0:00:00,ICT STGO PONIENTE,31/08/2007,: 96671750-5 EASY S A,PEDRO EDUARDO MUÑOZ PINEDA,26/10/2022,2024-10-26T00:00:00.000,PRESIDENTE,131
5915,13,13120959,SINDICATO DE EMPRESA UNIVERSIDAD FINIS TERRAE,ACTIVO,24207100,SINDICATO EMPRESA,AV. PEDRO DE VALDIVIA Nº1509,,60,121,09/10/2013,,15-11-2021 0:00:00,ICT PROVIDENCIA,10/10/2013,: 70884700-3 UNIVERSIDAD FINIS TERRAE,HORACIO FLORENCIO HEVIA LARRAIN,27/10/2021,2024-10-27T00:00:00.000,PRESIDENTE,181
1724,13,93020039,ASOCIACION DE FUNCIONARIOS NO DOCENTES DEL DEPARTAMENTO DE EDUCACION DE LA I. MUNICIPALIDAD DE SAN RAMON,ACTIVO,05255904,ASOCIACION DE FUNCIONARIOS,PEDRO AGUIRRE CERDA N?8450,,27,101,09/09/1998,,24-06-2022 0:00:00,ICT SANTIAGO SUR,17/09/1998,,MARCELO ANTONIO JIMENEZ MERINO,27/10/2022,2024-10-27T00:00:00.000,PRESIDENTE,128
